"state","race","type","all_workers_n","artists_n","artists_share","location_quotient"
"Michigan","Asian","Architects",163870,215,0.0013120156221395,0.631918913202715
"Minnesota","Asian","Architects",143550,275,0.00191570881226053,0.92268156737529
"Mississippi","Asian","Architects",14850,0,NA,NA
"Missouri","Asian","Architects",63375,110,0.00173570019723865,0.835982257967482
"Montana","Asian","Architects",4980,0,NA,NA
"Nebraska","Asian","Architects",24515,0,NA,NA
"Nevada","Asian","Architects",131920,0,NA,NA
"New Hampshire","Asian","Architects",20330,NA,NA,NA
"New Jersey","Asian","Architects",450385,1035,0.00229803390432629,1.10682453990663
"New Mexico","Asian","Architects",16455,NA,NA,NA
"New York","Asian","Architects",864770,2440,0.00282155948980653,1.3589752867636
"North Carolina","Asian","Architects",154710,230,0.00148665244651283,0.716030954554181
"North Dakota","Asian","Architects",6855,NA,NA,NA
"Ohio","Asian","Architects",136125,160,0.00117539026629935,0.566114707123484
"Oklahoma","Asian","Architects",44710,85,0.00190114068441064,0.915664977509319
"Oregon","Asian","Architects",98010,200,0.00204060810121416,0.982838033200493
"Pennsylvania","Asian","Architects",227500,575,0.00252747252747252,1.21733130746239
"Rhode Island","Asian","Architects",18645,NA,NA,NA
"South Carolina","Asian","Architects",41915,NA,NA,NA
"South Dakota","Asian","Architects",7135,0,NA,NA
"Tennessee","Asian","Architects",62925,50,0.000794596742153357,0.38270939862527
"Texas","Asian","Architects",712575,1840,0.00258218433147388,1.24368268860488
"Utah","Asian","Architects",40990,40,0.000975847767748231,0.470007102385852
"Vermont","Asian","Architects",6080,0,NA,NA
"Virginia","Asian","Architects",304945,615,0.00201675712013641,0.971350451965074
"Washington","Asian","Architects",355135,815,0.00229490193869936,1.10531606067684
"West Virginia","Asian","Architects",7825,NA,NA,NA
"Wisconsin","Asian","Architects",85760,75,0.000874533582089552,0.421210160479741
"Wyoming","Asian","Architects",2835,0,NA,NA
"Puerto Rico","Asian","Architects",1335,0,NA,NA
"Alabama","Other","Architects",43075,0,NA,NA
"Alaska","Other","Architects",71330,40,0.000560773867937754,0.647434998759827
"Arizona","Other","Architects",182520,90,0.000493096646942801,0.569299044151115
"Arkansas","Other","Architects",37895,0,NA,NA
"California","Other","Architects",688910,680,0.000987066525380674,1.13960626764912
"Colorado","Other","Architects",87510,230,0.0026282710547366,3.03444002004167
"Connecticut","Other","Architects",41230,45,0.00109143827310211,1.26010746469151
"Delaware","Other","Architects",10885,0,NA,NA
"District of Columbia","Other","Architects",11085,40,0.0036084799278304,4.16612886436973
"Florida","Other","Architects",214840,130,0.000605101470862037,0.698612921243716
"Georgia","Other","Architects",102865,340,0.00330530306712681,3.81609951803895
"Hawaii","Other","Architects",198250,155,0.000781841109709962,0.902665631972063
"Idaho","Other","Architects",25710,80,0.00311162971606378,3.59249618526165
"Illinois","Other","Architects",112345,75,0.000667586452445592,0.770754235750453
"Indiana","Other","Architects",61485,NA,NA,NA
"Iowa","Other","Architects",27340,NA,NA,NA
"Kansas","Other","Architects",43715,0,NA,NA
"Kentucky","Other","Architects",36080,0,NA,NA
"Louisiana","Other","Architects",42460,NA,NA,NA
"Maine","Other","Architects",14700,0,NA,NA
"Maryland","Other","Architects",85910,50,0.000582004423233617,0.671946491408719
"Massachusetts","Other","Architects",97815,135,0.00138015641772734,1.59344366720536
"Michigan","Other","Architects",120390,NA,NA,NA
